library_name,library_location,date_establishment,date_destruction,cultural_headline,erasure,damage,cultural_source,human_headline,numbered_loss,story,human_source,gender,obituary,contribution,caption,obituaty_source
"Central Archives of Gaza City, Gaza City Hall",Gaza,1882,11/29/23,"""'Israel destroyed Central Archives of Gaza City': Head of Gaza Municipality,"" Middle East Monitor, November 29, 2023.",Buildings destroyed include a theatre and a central library. The archives contained 150 years of records pertaining to Gaza's history.,"Complete destruction from direct shelling, causing a fire which fully destroyed the archives.",https://tiny.pratt.edu/McLuV58aU,More Captives Released from Gaza and Israel as Key Parties Urge Extension of Truce,1,"On Tuesday, 30 Palestinian women and children were freed from Israeli prisons after 10 Israelis and two foreign nationals were released from Gaza. This is Palestinian activist and student Ruba Assi, who was freed yesterday.",https://tiny.pratt.edu/kv6oKRGWD,Male,Tha'er Al-Taweel,Artist,"The visual artist Tha'er Al-Taweel (43 years old) and the head of the Visual Arts Forum, along with his family, were martyred in the Israeli bombardment on November 23. One of his prominent works released through the forum was a mural titled ""For Jerusalem"" and another mural titled ""Freedom Seizure"" in solidarity with the prisoners in the occupation's jails.",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://arablit.org/wp-content/uploads/2023/12/English-.pdf
Omari Mosque and Library ,Gaza,1277,12/8/23,"Saber, Indlieb Farazi. ""A 'cultural genocide': Which of Gaza's heritage sites have been destroyed?"" Al Jazeera, January 14, 2024."," The library, established by Sultan Zahir Baybars and opened in 1277, once boasted a collection of 20,000 books and manuscripts. The mosque was built in the 7th century, and contained one of the most significant collections of rare books in Palestine, including works dating to the 14th century. Over 200 manuscripts from  the library's holdings were digitized in 2022.","Mosque was completely destroyed, likely including the library. ",https://tiny.pratt.edu/Za18RIil5,No end in sight as death toll rises in Gaza and Israel escalates attacks. US vetoes UN resolution calling for Gaza ceasefire.,267,"In the occupied West Bank, the death toll stood at 266, with 3,365 wounded.",https://tiny.pratt.edu/BskbcgEt7,Male,Omar Abu Shaweesh,Novelist,"The poet, novelist, and community activist Omar Faris Abu Shaweesh was killed on October 7 during the shelling of the Nuseirat refugee camp in Gaza. Abu Shaweesh co-founded several youth associations and won multiple local and international awards. He was also given the ""Distinguished Arab Youth in the Field of Media, Journalism and Culture"" award by the Arab Youth Council for Integrated Development of the Arab League in 2013. He published a number of collections of poetry, as well as a novel, Al_ qayd al-mawt (2016).",https://tiny.pratt.edu/4U0BACmy1
"Ataa Library, IBBY Children in Crisis Library ",Beit Hanoun,2000,10/6/23,Report by al-Ataa librarian on the destruction,The society aimed also empowering women and young adults and offered programs for children with special needs aiming at strengthening their role in the community.,Complete destruction. The library was also completely destroyed in an Israeli bombing in 2014. ,https://tiny.pratt.edu/8R3UKQ6xJ,"In Northern Gaza, the Price of a Ride South Is Out of Reach for Many",2,"Israel continues to ramp up its calls for Gazans to evacuate, but the trip can cost hundreds of dollars, up from $3 a person before the war.",https://tiny.pratt.edu/1osunZSwq,Female,Heba Zaqout,Artist,"The visual artist and fine arts teacher, Heba Ghazi Ibrahim Zaqout (39 years old), and her son were martyred on October 13th. Just days before her martyrdom, she recorded a video showcasing her paintings and spoke about her works and her dream of organizing an art exhibition to display her creativity. Her work often depicted women, the homeland, nature, and the bond between mothers and their children. She has now departed, along with her son.",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://arablit.org/wp-content/uploads/2023/12/English-.pdf
Diana Tamari Sabbagh Library in the Rashad al-Shawa Cultural Center,"Al-Rimal, Gaza City",1992,11/25/23,"Gaza's Main Public Library Destroyed, Thousands of Books Lost","As a result of that particular strike, an ancient collection of manuscripts kept at the mosque may be forever lost. ""The manuscript collections remained in the vicinity of the mosque and are currently inaccessible because of the continuing conflict,"" Columba Stewart, the CEO of the Hill Museum and Manuscript Library (HMML), told Al Jazeera soon after the strike.","Complete destruction by Israeli shelling, including the destruction of tens of thousands of books in the Tamari Sabbagh Library. The building had been sheltering hundreds of displaced Palestinians.",https://tiny.pratt.edu/5ShjMaewI,"As Cease-Fire Takes Hold, Some Gazans Attempt a Treacherous Return Home",52,Israel had warned Gazans that it would prohibit them from trying to move from southern Gaza to the north during the temporary cease-fire.,https://tiny.pratt.edu/RfSLCnJ6o,Female,Lubna Alian,Musician,"Lubna Mahmoud Alian (15 years old), a violin student at the Edward Said National conservatory of Music in Gaza, was martyred on November 21, along with more than fifty members of her family. Lubna was one of the outstanding students at the institute, singing and playing music for joy and life. She saw music as her future, a means to represent her people and her country in Palestinian, Arab, and international orchestras.",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://arablit.org/wp-content/uploads/2023/12/English-.pdf
Edward Said Library,Beit Lahia,2017,10/6/23,Read Mosab Abu Toha's statement on the destruction of the Edward Said Library in Gaza.,"Mosab Abu Toha, the award-winning Palestinian poet, writer, and librarian (who, in November 2023, was kidnapped by Israeli forces as he tried to get his young family out of Gaza) has released a statement confirming the destruction of the Edward Said Public Library—Gaza's first English language library, which Abu Toha himself founded in 2017. The destruction of the Edward Said Public Library is just one war crime committed against Gaza and Gazans in the past 15 months.",Destroyed,https://tiny.pratt.edu/ShD5B12Fo,MECA remembers colleague and friend Doaa Al-Masri,1,"In December 2023, Do'a Al-Masri, the librarian at the Gaza City branch of the library, was killed in an air strike with her mother and siblings in Tuffah neighborhood.",https://tiny.pratt.edu/3eaZOhIvd,Female,Do'a Al-Masri,Librarian,"Doaa was the librarian at the Edward Said Public Library in Gaza. She was a kind and energetic young woman who organized many activities for children and youth at the library including reading groups, classes, and field trips for schools.",https://tiny.pratt.edu/3eaZOhIvd
Enaim Library,Gaza,1936,12/6/23,Scholasticide in Gaza,"According to a report by Librarians and Archivists with Palestine, at least 22 archives, museums, and libraries in Gaza were destroyed, damaged or looted by Israeli armed forces between October 2023 and January 2024.",Destroyed,https://tiny.pratt.edu/RDqbHc8FU,"War Intensifies in Southern Gaza, Where Civilians Say No Place Is Safe","15,000","The Gazan health authorities say the war has claimed more than 15,500 lives, mostly women and children. Since the collapse of Israel's weeklong truce with Hamas on Friday, more than 300 people have been killed each day, according to Gaza's health officials. Nearly 1.9 million people, or more than 85 percent of all Gazans, have been displaced by the war, according to the United Nations.",https://tiny.pratt.edu/HUKR7V2pe,Male,Nour al-Din Hajjaj,Poet,"The poet and writer Nour al-Din Hajjaj was martyred on December 3. Hajjaj actively participated in the ""Cultural Passion"" initiative, the Cordoba Association, and the Days of Theater Foundation. One of the last things he wrote on his social media account was: ""In Gaza, we witness an uncountable number of events every day. When we retire to sleep, exhausted, we witness. When we are forced to leave our homes or rooftops, with every sound of a rocket or a nearby explosion, we only say, 'I bear witness that there is no god but Allah, and I bear witness that Muhammad is the Messenger of Allah.' And we know that one of these times will be the last thing we utter.""",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://arablit.org/wp-content/uploads/2023/12/English-.pdf
Gaza Municipal Library,Gaza,1999,11/27/23,Israel-Palestine war: Gaza's main public library destroyed in Israeli bombing,"Palestinians inspecting the destruction wreaked by the Israeli military have been dismayed to find Gaza's main public library in ruins following at least seven weeks of bombing. ""The targeted destruction of Gaza's primary public library is a stark reminder that genocide is about more than just the premeditated mass extinguishing of human life; it's also about the calculated, and often vindictive, destruction of a people's culture, language, history, and shared sites of community,"" Literary Hub said in a statement.","Building caught fire, causing significant damage.",https://tiny.pratt.edu/RKJp6WQMA,"As Hamas Releases More Hostages, Longer Cease-Fire Appears Possible","1,200","Hamas and its allies seized an estimated 240 hostages when they attacked southern Israel last month, killing about 1,200 people, most of them civilians. In Israel's responding air and ground attacks on Gaza, which is controlled by Hamas, more than 13,000 people have been reported killed. Under the initial terms of the deal, Israel and Hamas agreed to a truce to allow for the exchange of 50 hostages held by Hamas and 150 Palestinian women and youths in Israel jails.",https://tiny.pratt.edu/vD1uTwsnQ,Male,Bilal Jadallah,Journalist,"Journalist Bilal Jadallah (45 years old), the director of the Press House and the head of the cultural salon, was martyred on November 19 while he was evacuating to the south to join his family in Khan Yunis, who had evacuated before him. The martyr Jadallah played a significant role in hosting journalists and training and graduating professionals capable of conveying the truth and continuing this journey under the difficult, complex, and harsh conditions that the Gaza Strip constantly faces. He also connected journalism with culture and heritage, activating its role in supporting intellectuals and creatives. He established the cultural salon for discussing cultural issues and initiatives.",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://arablit.org/wp-content/uploads/2023/12/English-.pdf
Al-Kalima Library and Publishing House,Sheikh Radwan,2006,2/19/24,Israeli forces have burned down the library of Al-Kalima.,"Toppled bookshelves, stray pages, and piles of ash are now all that remains of the library, which was also the home of its founder, Atef al Durra—a refugee from the Bureij camp in central Gaza who established Al-Kalima in 2006. At least 14 libraries have now been badly damaged or destroyed entirely by Israeli forces since October 7.",Complete destruction.,https://tiny.pratt.edu/MxZwUT4vi,"Against a Canvas of Despair, Gaza's Artists Trace Their Struggle",1,"""Killing the Palestinians, killing the artists, destroying their works, targeting the cultural institutions,"" said Ehab Bseisso, a member of the museum's board of directors, ""is a primary part of the genocidal erasure of history and memory and creativity."" At least four of the artists with works in the exhibition have been killed by Israeli airstrikes, according to the organizers. Their names are marked on a wall of contributors with a black line in the corner of their nameplate.",https://tiny.pratt.edu/A9zKlVJCr,Male,Fathi Ghaben,Artist,"Ghaben was one of Palestine's most prominent painters, having gained renown in the 1970s and '80s for his exuberantly colored paintings that memorialized Palestinian resistance. He was also a fierce advocate for arts education in Palestine and was a founding member of the Association of Fine Artists and Artists in Gaza and established the Fathi Ghaben Center of Arts. In a video uploaded to Facebook on February 19 by a relative of Ghaben, the ailing artist makes a desperate appeal for aid, saying, ""I am suffocating. I want to breathe, I want to breathe."" He repeats those words until he is overcome by violent coughing.",https://tiny.pratt.edu/o508sYGSb
Kana‚Äôan Educational Development Institute,"Al-Rimal, Gaza City",1997,12/6/23,Scholasticide in Gaza,"Established in 1997, a community institution with cultural and educational objectives, it houses a rich community library in the Al-Rimal neighborhood of Gaza City. Its notable programs include training, early childhood education, and psychological support.","Destroyed, including a community library.",https://tiny.pratt.edu/RDqbHc8FU,Israel Says It Has Killed Half of Hamas's Battalion Commanders,5,"Israel said it has killed about half of Hamas's midlevel commanders in Gaza and is pressing on the suspected hiding place of the group's leader, deploying a deliberate strategy to disrupt the militants' ability to fight in the enclave.",https://tiny.pratt.edu/mGbj9fEKS,Male,Refaat Alareer,Poet,"Refaat Alareer, 44, was killed on December 6, 2023. The poet and writer was buried beside his brother Salah, his sister Asmaa, and their children— all of whom were killed in the same Israeli airstrike in northern Gaza. A professor of English Literature at the Islamic University in Gaza, Alareer had refused to leave northern Gaza when Israel launched its genocidal campaign in October 2023. He was reportedly targeted deliberately after receiving multiple death threats.",https://tiny.pratt.edu/jacwIoPvm
Lubbud Library,West Bank,2019,12/6/23,U.S. to Deny Visas to Violent Israeli Settlers and Some West Bank Palestinians,"Israeli forces bombed and destroyed nine publishing houses and libraries, including the Lubbud Library.",Destroyed,https://tiny.pratt.edu/VowHnPQlM,Palestinian artist and husband killed in Israeli strike on Christmas Day,"45,339","A Palestinian artist and her husband were killed in an Israeli strike on their home in the Nuseirat refugee camp in central Gaza on Wednesday morning. Walaa Jumaa al-Afranji and Ahmed Saeed Salama were pronounced dead after being taken to al-Aqsa Martyrs Hospital following an Israeli attack on a residential building near the Ain Jalut Towers in Nuseirat.Including Afranji and her husband, at least 13 people were killed by Israeli strikes in the early hours of Christmas morning. At least 45,338 Palestinians, most of them women and children, have been killed in Israeli attacks on Gaza since the war began, according to the Palestinian health ministry. An additional 107,764 people have been injured during this time.",https://tiny.pratt.edu/XonmGf1SJ,Female,Walaa Jumaa al-Afranji,Artist,Walaa Jumaa al-Afranji was a well-known calligrapher and handicraft artist who ran her own clothing shop in central Gaza.,https://tiny.pratt.edu/XonmGf1SJ
